+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |100 |       NEW |     READY |
|                 0 |101 |       NEW |     READY |
|                 0 |102 |       NEW |     READY |
|                 0 |103 |       NEW |     READY |
|                 0 |104 |       NEW |     READY |
|                 0 |105 |       NEW |     READY |
|                 0 |100 |     READY |   RUNNING |
|                10 |100 |   RUNNING |   WAITING |
|                10 |101 |     READY |   RUNNING |
|                15 |101 |   RUNNING |   WAITING |
|                15 |100 |   WAITING |     READY |
|                15 |100 |     READY |   RUNNING |
|                20 |101 |   WAITING |     READY |
|                25 |100 |   RUNNING |   WAITING |
|                25 |101 |     READY |   RUNNING |
|                30 |101 |   RUNNING |   WAITING |
|                30 |100 |   WAITING |     READY |
|                30 |100 |     READY |   RUNNING |
|                35 |101 |   WAITING |     READY |
|                40 |100 |   RUNNING |   WAITING |
|                40 |101 |     READY |   RUNNING |
|                45 |101 |   RUNNING |   WAITING |
|                45 |100 |   WAITING |     READY |
|                45 |100 |     READY |   RUNNING |
|                50 |101 |   WAITING |     READY |
|                55 |100 |   RUNNING |   WAITING |
|                55 |101 |     READY |   RUNNING |
|                60 |101 |   RUNNING |   WAITING |
|                60 |100 |   WAITING |     READY |
|                60 |100 |     READY |   RUNNING |
|                65 |101 |   WAITING |     READY |
|                70 |100 |   RUNNING |   WAITING |
|                70 |101 |     READY |   RUNNING |
|                75 |101 |   RUNNING |   WAITING |
|                75 |100 |   WAITING |     READY |
|                75 |100 |     READY |   RUNNING |
|                80 |101 |   WAITING |     READY |
|                85 |100 |   RUNNING |   WAITING |
|                85 |101 |     READY |   RUNNING |
|                90 |101 |   RUNNING |   WAITING |
|                90 |100 |   WAITING |     READY |
|                90 |100 |     READY |   RUNNING |
|                95 |101 |   WAITING |     READY |
|               100 |100 |   RUNNING |   WAITING |
|               100 |101 |     READY |   RUNNING |
|               105 |101 |   RUNNING |   WAITING |
|               105 |100 |   WAITING |     READY |
|               105 |100 |     READY |   RUNNING |
|               110 |101 |   WAITING |     READY |
|               115 |100 |   RUNNING |   WAITING |
|               115 |101 |     READY |   RUNNING |
|               120 |101 |   RUNNING |   WAITING |
|               120 |100 |   WAITING |     READY |
|               120 |100 |     READY |   RUNNING |
|               125 |101 |   WAITING |     READY |
|               130 |100 |   RUNNING |   WAITING |
|               130 |101 |     READY |   RUNNING |
|               135 |101 |   RUNNING |   WAITING |
|               135 |100 |   WAITING |     READY |
|               135 |100 |     READY |   RUNNING |
|               140 |101 |   WAITING |     READY |
|               145 |100 |   RUNNING |   WAITING |
|               145 |101 |     READY |   RUNNING |
|               150 |101 |   RUNNING |   WAITING |
|               150 |100 |   WAITING |     READY |
|               150 |100 |     READY |   RUNNING |
|               155 |101 |   WAITING |     READY |
|               160 |100 |   RUNNING |   WAITING |
|               160 |101 |     READY |   RUNNING |
|               165 |101 |   RUNNING |   WAITING |
|               165 |100 |   WAITING |     READY |
|               165 |100 |     READY |   RUNNING |
|               170 |101 |   WAITING |     READY |
|               175 |100 |   RUNNING |TERMINATED |
|               175 |101 |     READY |   RUNNING |
|               180 |101 |   RUNNING |   WAITING |
|               180 |102 |     READY |   RUNNING |
|               185 |101 |   WAITING |     READY |
|               260 |102 |   RUNNING |TERMINATED |
|               260 |101 |     READY |   RUNNING |
|               265 |101 |   RUNNING |   WAITING |
|               265 |103 |     READY |   RUNNING |
|               270 |101 |   WAITING |     READY |
|               273 |103 |   RUNNING |   WAITING |
|               273 |101 |     READY |   RUNNING |
|               276 |103 |   WAITING |     READY |
|               278 |101 |   RUNNING |   WAITING |
|               278 |103 |     READY |   RUNNING |
|               283 |101 |   WAITING |     READY |
|               286 |103 |   RUNNING |   WAITING |
|               286 |101 |     READY |   RUNNING |
|               289 |103 |   WAITING |     READY |
|               291 |101 |   RUNNING |   WAITING |
|               291 |103 |     READY |   RUNNING |
|               296 |101 |   WAITING |     READY |
|               299 |103 |   RUNNING |   WAITING |
|               299 |101 |     READY |   RUNNING |
|               302 |103 |   WAITING |     READY |
|               304 |101 |   RUNNING |   WAITING |
|               304 |103 |     READY |   RUNNING |
|               309 |101 |   WAITING |     READY |
|               312 |103 |   RUNNING |   WAITING |
|               312 |101 |     READY |   RUNNING |
|               315 |103 |   WAITING |     READY |
|               317 |101 |   RUNNING |   WAITING |
|               317 |103 |     READY |   RUNNING |
|               322 |101 |   WAITING |     READY |
|               325 |103 |   RUNNING |   WAITING |
|               325 |101 |     READY |   RUNNING |
|               328 |103 |   WAITING |     READY |
|               330 |101 |   RUNNING |   WAITING |
|               330 |103 |     READY |   RUNNING |
|               335 |101 |   WAITING |     READY |
|               338 |103 |   RUNNING |   WAITING |
|               338 |101 |     READY |   RUNNING |
|               341 |103 |   WAITING |     READY |
|               343 |101 |   RUNNING |   WAITING |
|               343 |103 |     READY |   RUNNING |
|               348 |101 |   WAITING |     READY |
|               351 |103 |   RUNNING |   WAITING |
|               351 |101 |     READY |   RUNNING |
|               354 |103 |   WAITING |     READY |
|               356 |101 |   RUNNING |TERMINATED |
|               356 |103 |     READY |   RUNNING |
|               360 |103 |   RUNNING |TERMINATED |
|               360 |104 |     READY |   RUNNING |
|               400 |104 |   RUNNING |TERMINATED |
|               400 |105 |     READY |   RUNNING |
|               404 |105 |   RUNNING |   WAITING |
|               406 |105 |   WAITING |     READY |
|               406 |105 |     READY |   RUNNING |
|               410 |105 |   RUNNING |   WAITING |
|               412 |105 |   WAITING |     READY |
|               412 |105 |     READY |   RUNNING |
|               416 |105 |   RUNNING |   WAITING |
|               418 |105 |   WAITING |     READY |
|               418 |105 |     READY |   RUNNING |
|               422 |105 |   RUNNING |   WAITING |
|               424 |105 |   WAITING |     READY |
|               424 |105 |     READY |   RUNNING |
|               428 |105 |   RUNNING |TERMINATED |
+------------------------------------------------+
