+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |700 |       NEW |     READY |
|                 0 |701 |       NEW |     READY |
|                 0 |702 |       NEW |     READY |
|                 0 |703 |       NEW |     READY |
|                 0 |704 |       NEW |     READY |
|                 0 |704 |     READY |   RUNNING |
|                10 |704 |   RUNNING |   WAITING |
|                10 |703 |     READY |   RUNNING |
|                15 |704 |   WAITING |     READY |
|                90 |703 |   RUNNING |TERMINATED |
|                90 |704 |     READY |   RUNNING |
|               100 |704 |   RUNNING |   WAITING |
|               100 |702 |     READY |   RUNNING |
|               104 |702 |   RUNNING |   WAITING |
|               104 |701 |     READY |   RUNNING |
|               105 |704 |   WAITING |     READY |
|               106 |702 |   WAITING |     READY |
|               112 |701 |   RUNNING |   WAITING |
|               112 |702 |     READY |   RUNNING |
|               116 |702 |   RUNNING |   WAITING |
|               116 |701 |   WAITING |     READY |
|               116 |701 |     READY |   RUNNING |
|               118 |702 |   WAITING |     READY |
|               124 |701 |   RUNNING |   WAITING |
|               124 |702 |     READY |   RUNNING |
|               128 |702 |   RUNNING |   WAITING |
|               128 |701 |   WAITING |     READY |
|               128 |701 |     READY |   RUNNING |
|               130 |702 |   WAITING |     READY |
|               136 |701 |   RUNNING |   WAITING |
|               136 |702 |     READY |   RUNNING |
|               140 |702 |   RUNNING |   WAITING |
|               140 |701 |   WAITING |     READY |
|               140 |701 |     READY |   RUNNING |
|               142 |702 |   WAITING |     READY |
|               148 |701 |   RUNNING |   WAITING |
|               148 |702 |     READY |   RUNNING |
|               152 |702 |   RUNNING |   WAITING |
|               152 |701 |   WAITING |     READY |
|               152 |701 |     READY |   RUNNING |
|               154 |702 |   WAITING |     READY |
|               160 |701 |   RUNNING |   WAITING |
|               160 |702 |     READY |   RUNNING |
|               164 |702 |   RUNNING |   WAITING |
|               164 |701 |   WAITING |     READY |
|               164 |701 |     READY |   RUNNING |
|               166 |702 |   WAITING |     READY |
|               172 |701 |   RUNNING |   WAITING |
|               172 |702 |     READY |   RUNNING |
|               176 |702 |   RUNNING |   WAITING |
|               176 |701 |   WAITING |     READY |
|               176 |701 |     READY |   RUNNING |
|               178 |702 |   WAITING |     READY |
|               184 |701 |   RUNNING |   WAITING |
|               184 |702 |     READY |   RUNNING |
|               188 |702 |   RUNNING |   WAITING |
|               188 |701 |   WAITING |     READY |
|               188 |701 |     READY |   RUNNING |
|               190 |702 |   WAITING |     READY |
|               196 |701 |   RUNNING |   WAITING |
|               196 |702 |     READY |   RUNNING |
|               200 |702 |   RUNNING |   WAITING |
|               200 |701 |   WAITING |     READY |
|               200 |701 |     READY |   RUNNING |
|               202 |702 |   WAITING |     READY |
|               208 |701 |   RUNNING |   WAITING |
|               208 |702 |     READY |   RUNNING |
|               212 |702 |   RUNNING |   WAITING |
|               212 |701 |   WAITING |     READY |
|               212 |701 |     READY |   RUNNING |
|               214 |702 |   WAITING |     READY |
|               220 |701 |   RUNNING |TERMINATED |
|               220 |702 |     READY |   RUNNING |
|               224 |702 |   RUNNING |   WAITING |
|               224 |704 |     READY |   RUNNING |
|               226 |702 |   WAITING |     READY |
|               234 |704 |   RUNNING |   WAITING |
|               234 |702 |     READY |   RUNNING |
|               238 |702 |   RUNNING |   WAITING |
|               238 |700 |     READY |   RUNNING |
|               239 |704 |   WAITING |     READY |
|               240 |702 |   WAITING |     READY |
|               318 |700 |   RUNNING |TERMINATED |
|               318 |702 |     READY |   RUNNING |
|               322 |702 |   RUNNING |   WAITING |
|               322 |704 |     READY |   RUNNING |
|               324 |702 |   WAITING |     READY |
|               332 |704 |   RUNNING |   WAITING |
|               332 |702 |     READY |   RUNNING |
|               336 |702 |   RUNNING |   WAITING |
|               337 |704 |   WAITING |     READY |
|               337 |704 |     READY |   RUNNING |
|               338 |702 |   WAITING |     READY |
|               347 |704 |   RUNNING |   WAITING |
|               347 |702 |     READY |   RUNNING |
|               351 |702 |   RUNNING |   WAITING |
|               352 |704 |   WAITING |     READY |
|               352 |704 |     READY |   RUNNING |
|               353 |702 |   WAITING |     READY |
|               362 |704 |   RUNNING |   WAITING |
|               362 |702 |     READY |   RUNNING |
|               366 |702 |   RUNNING |   WAITING |
|               367 |704 |   WAITING |     READY |
|               367 |704 |     READY |   RUNNING |
|               368 |702 |   WAITING |     READY |
|               377 |704 |   RUNNING |   WAITING |
|               377 |702 |     READY |   RUNNING |
|               381 |702 |   RUNNING |   WAITING |
|               382 |704 |   WAITING |     READY |
|               382 |704 |     READY |   RUNNING |
|               383 |702 |   WAITING |     READY |
|               392 |704 |   RUNNING |TERMINATED |
|               392 |702 |     READY |   RUNNING |
|               396 |702 |   RUNNING |   WAITING |
|               398 |702 |   WAITING |     READY |
|               398 |702 |     READY |   RUNNING |
|               402 |702 |   RUNNING |   WAITING |
|               404 |702 |   WAITING |     READY |
|               404 |702 |     READY |   RUNNING |
|               408 |702 |   RUNNING |TERMINATED |
+------------------------------------------------+
